State,District,Region,State_key,District_key,RMNCH,Infectious_Diseases,NCD,SCA,FRP,UHC_Index,UHC_Gap,UHC_Tercile,Service_Coverage,FRP_D,SCA_FRP_Gap,UHC_District,UHC_Poorest20,UHC_Rural,UHC_SCST,UHC_ReligMin,Equity_Gap_Poor,Equity_Gap_Rural,Equity_Gap_SCST,Equity_Gap_ReligMin,SC_Pct,ST_Pct,PMJAY_Enrolled,Opt_Out,Type1_Score,Type2_Score,Type3_Score,Type1_Score_norm,Type2_Score_norm,Type3_Score_norm,TCFD_Type,TCFD_Description,DiD_Treatment,HC_Cluster,KM_Cluster,RMNCH_norm,NCD_norm,FRP_norm,UHC_Index_norm,SCA_norm,Infectious_Diseases_norm,Equity_Gap_Poor_norm,Equity_Gap_SCST_norm,Equity_Gap_Rural_norm,Equity_Gap_ReligMin_norm,SCA_FRP_Gap_norm,SC_Pct_norm,ST_Pct_norm,Type1_Score_norm.1,Type2_Score_norm.1,T3_ASHA_inv_norm,Type3_Score_norm.1,DALY_Rate_Estimated,DALY_Rate_norm,Burden_Adjusted_Gap,HC_Cluster_WB,KM_Cluster_WB,UHC_Quartile,HC_WB,KM_WB,NFHS4_UHC_Baseline,UHC_Post,UHC_Pre,Delta_UHC,SHAP_RMNCH,SHAP_Infectious_Diseases,SHAP_NCD,SHAP_SCA,SHAP_FRP,SHAP_Equity_Gap_Poor,SHAP_Equity_Gap_Rural,SHAP_Equity_Gap_SCST,SHAP_Equity_Gap_ReligMin,SHAP_SCA_FRP_Gap,SHAP_DALY_Rate_Estimated,Population
Andhra Pradesh,Anantapur,South,Andhra Pradesh,Anantapur,75.34,67.57,10.15,73.71,85.98,50.47,49.53,High UHC,44.17,85.98,-41.81,50.47,43.93,50.3,50.0,52.91,6.54,0.17,0.47,-2.44,16.4,5.5,1,0,0,0.241264886127864,0.2847538423495746,0.0,0.2170491689202192,0.2083701087119245,Mixed,Multiple pathways near-equal — multi-pronged intervention required.,1,3.0,0.0,0.8413218219708246,0.1782117790662191,0.8579922566371683,0.5595625872498835,0.7727765074016126,0.659887640449438,0.3510754648195406,0.2416440831074977,0.1360401841774801,0.1310751104565537,0.2547819433817903,0.5141065830721003,0.0580168776371308,0.0,0.2170491689202192,0.5994795836669335,0.2083701087119245,33479.0,0.5836002117075748,28.91,3.0,0.0,Q4,3.0,0.0,75.6,50.47,75.6,-25.13,,,,,,,,,,,,4081148.0
Andhra Pradesh,Kurnool,South,Andhra Pradesh,Kurnool,64.34,81.83,11.13,56.74,85.66,49.08,50.92,High UHC,42.7,85.66,-42.96,49.08,40.45,48.16,48.78,51.07,8.63,0.92,0.3,-1.99,16.4,5.5,1,0,0,0.2685216609828944,0.2805639491007678,0.0,0.2737579904226003,0.2021373871733554,Type_II,Historical Injustice: SC/ST or income gaps embedded in health system access.,1,3.0,0.0,0.6775826138731765,0.2081171803478792,0.8535674778761062,0.5272219637040483,0.5685401372006258,0.8201123595505617,0.4272694130514035,0.2339656729900632,0.1674340728338216,0.1443298969072164,0.2422122636353699,0.5141065830721003,0.0580168776371308,0.0,0.2737579904226003,0.5994795836669335,0.2021373871733554,35593.0,0.6575786260659399,33.48,3.0,0.0,Q4,3.0,0.0,75.6,49.08,75.6,-26.52,-0.17468016,0.12538269,0.9510247,0.5508893,2.933878,0.004510002,-0.0013815247,-0.0028241533,-0.005774123,-0.20834608,-0.007348863,4053463.0
Andhra Pradesh,Krishna,South,Andhra Pradesh,Krishna,83.48,81.0,19.15,75.94,89.8,61.55,38.45,High UHC,56.0,89.8,-33.8,61.55,59.44,60.55,61.39,62.23,2.11,1.0,0.16,-0.68,16.4,5.5,1,0,0,0.2000439297191832,0.3139373596738724,0.0,0.1312873034181496,0.2517823691675226,Type_III,Policy-Actionable: PM-JAY gap or ASHA deficit — addressable in one budget cycle.,1,3.0,2.0,0.9624888359630842,0.452853219407995,0.9108130530973452,0.8173569101907863,0.7996148754362737,0.8107865168539325,0.1895734597156397,0.2276422764227642,0.1707827542904981,0.1829160530191458,0.3423324953546836,0.5141065830721003,0.0580168776371308,0.0,0.1312873034181496,0.5994795836669335,0.2517823691675226,31887.0,0.5278889365616347,20.3,3.0,2.0,Q4,3.0,2.0,75.6,61.55,75.6,-14.05,2.173864,0.0062439498,6.7502375,4.1713457,2.8516247,-0.0020108393,-0.014197141,-0.010899566,-0.016195526,-0.015732037,0.011559394,4517398.0
Andhra Pradesh,West Godavari,South,Andhra Pradesh,West Godavari,74.53,81.88,19.92,69.17,87.25,59.3,40.7,High UHC,53.85,87.25,-33.4,59.3,58.65,58.73,59.56,56.6,0.65,0.57,-0.26,2.7,16.4,5.5,1,0,0,0.2091644595940029,0.3153947138473704,0.0,0.1502629343733587,0.2539502723113727,Type_III,Policy-Actionable: PM-JAY gap or ASHA deficit — addressable in one budget cycle.,1,3.0,2.0,0.8292646621018159,0.4763503204150138,0.8755530973451329,0.7650069799906931,0.718136959922975,0.8206741573033707,0.1363470652570178,0.2086720867208672,0.1527835914608622,0.2824742268041237,0.3467045578751776,0.5141065830721003,0.0580168776371308,0.0,0.1502629343733587,0.5994795836669335,0.2539502723113727,31503.0,0.514451041049046,20.94,3.0,2.0,Q4,3.0,2.0,75.6,59.3,75.6,-16.3,,,,,,,,,,,,3936966.0
Andhra Pradesh,Srikakulam,South,Andhra Pradesh,Srikakulam,76.33,81.07,8.79,54.37,82.91,47.63,52.37,High UHC,41.47,82.91,-41.44,47.63,36.71,47.81,43.88,47.29,10.92,-0.18,3.75,0.34,16.4,5.5,1,0,0,0.3711690383639001,0.2861018949600603,0.0,0.4873200069321471,0.2103754191199857,Type_II,Historical Injustice: SC/ST or income gaps embedded in health system access.,1,3.0,0.0,0.856058350699613,0.1367104058590173,0.8155420353982301,0.4934853420195439,0.5400168491996629,0.811573033707865,0.5107546481954065,0.3897922312556459,0.1213897028045207,0.212960235640648,0.2588261012132473,0.5141065830721003,0.0580168776371308,0.0,0.4873200069321471,0.5994795836669335,0.2103754191199857,31722.0,0.5221148408335693,27.34,3.0,0.0,Q3,3.0,0.0,75.6,47.63,75.6,-27.97,,,,,,,,,,,,2703114.0
Andhra Pradesh,Visakhapatnam,South,Andhra Pradesh,Visakhapatnam,70.18,83.44,13.94,72.25,84.27,54.86,45.14,High UHC,49.28,84.27,-34.99,54.86,46.59,52.68,48.22,51.79,8.27,2.18,6.64,3.07,16.4,5.5,1,0,0,0.4092809688787509,0.3096017310077157,0.0,0.566613418429764,0.2453328573145685,Type_II,Historical Injustice: SC/ST or income gaps embedded in health system access.,1,3.0,0.0,0.7645132479904734,0.2938663411657003,0.8343473451327434,0.6617031177291763,0.7552051991816102,0.8382022471910111,0.4141450966095515,0.5203252032520325,0.2201758057764755,0.2933726067746686,0.3293256093562137,0.5141065830721003,0.0580168776371308,0.0,0.566613418429764,0.5994795836669335,0.2453328573145685,34682.0,0.6256986187431061,28.24,3.0,0.0,Q4,3.0,0.0,75.6,54.86,75.6,-20.74,,,,,,,,,,,,4290589.0
Arunachal Pradesh,Upper Siang,Northeast,Arunachal Pradesh,Upper Siang,51.02,97.84,10.29,45.7,62.63,43.0,57.0,Medium UHC,39.14,62.63,-23.49,43.0,35.13,42.72,42.49,42.67,7.87,0.28,0.51,0.33,0.0,68.8,1,0,2,0.2852263251523055,0.4767319596438131,0.6666666666666666,0.3085127192442872,0.4939492572819949,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.479309318249479,0.1824839792493134,0.5351216814159292,0.3857608189855745,0.4356721627151281,1.0,0.3995625227852716,0.2434507678410117,0.1406446211804101,0.2126656848306332,0.4550224068204175,0.0,0.7257383966244725,0.6666666666666666,0.3085127192442872,0.975173472111022,0.4939492572819949,30149.0,0.4670684615593458,26.62,1.0,1.0,Q2,1.0,1.0,36.03333333333333,43.0,36.03333333333333,6.97,,,,,,,,,,,,35320.0
Arunachal Pradesh,Longding,Northeast,Arunachal Pradesh,Longding,46.88,82.32,8.96,65.05,47.54,40.35,59.65,Low UHC,38.73,47.54,-8.81,40.35,30.6,38.49,39.42,39.94,9.75,1.86,0.93,0.41,0.0,68.8,1,0,2,0.3151812228710158,0.5302168578111903,0.6666666666666666,0.3708350943927511,0.5735113026612935,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.417683834474546,0.1418980775099176,0.3264657079646018,0.3241042345276872,0.6685521723432422,0.8256179775280897,0.4681006197593875,0.2624209575429087,0.2067810799497697,0.2150220913107511,0.6154771013225488,0.0,0.7257383966244725,0.6666666666666666,0.3708350943927511,0.975173472111022,0.5735113026612935,32384.0,0.5452812127849588,32.53,1.0,1.0,Q2,1.0,1.0,36.03333333333333,40.35,36.03333333333333,4.32,,,,,,,,,,,,83697.5
Arunachal Pradesh,Kurung Kumey,Northeast,Arunachal Pradesh,Kurung Kumey,56.13,82.53,11.22,45.55,45.8,40.46,59.54,Low UHC,39.22,45.8,-6.58,40.46,24.25,40.24,40.74,40.29,16.21,0.22,-0.28,0.17,0.0,68.8,1,0,2,0.3731102677486724,0.5383416073284417,0.6666666666666666,0.4913588131101242,0.5855973626882577,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.5553736231021137,0.2108635947512969,0.3024059734513274,0.3266635644485807,0.4338668913226621,0.8279775280898876,0.7036091870215093,0.2077687443541102,0.1381331100879028,0.2079528718703976,0.6398513498743031,0.0,0.7257383966244725,0.6666666666666666,0.4913588131101242,0.975173472111022,0.5855973626882577,30716.0,0.4869103541521523,28.99,1.0,1.0,Q2,1.0,1.0,36.03333333333333,40.46,36.03333333333333,4.43,,,,,,,,,,,,92076.0
Arunachal Pradesh,Namsai,Northeast,Arunachal Pradesh,Namsai,51.83,82.89,10.4,62.2,51.0,42.68,57.32,Medium UHC,40.83,51.0,-10.17,42.68,26.42,41.85,41.52,40.64,16.26,0.83,1.16,2.04,0.0,68.8,1,0,2,0.4137584256177701,0.5252618536212971,0.6666666666666666,0.5759289481044282,0.5661404319722031,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.4913664781184875,0.1858407079646018,0.3743086283185841,0.3783154955793392,0.6342520158863882,0.8320224719101122,0.7054320087495444,0.2728093947606143,0.1636668061950606,0.2630338733431517,0.6006120887528691,0.0,0.7257383966244725,0.6666666666666666,0.5759289481044282,0.975173472111022,0.5661404319722031,29816.0,0.4554152865445228,26.1,1.0,1.0,Q2,1.0,1.0,36.03333333333333,42.68,36.03333333333333,6.65,-1.6692685,0.106644705,-0.18105751,1.5905861,-2.47873,-0.003956875,-0.00046910867,0.0010524116,0.0069339094,0.11232925,0.012405386,83697.5
