State,District,RMNCH,NCD,FRP,UHC_Index,UHC_Tercile,SCA,Infectious_Diseases,RMNCH_norm,NCD_norm,FRP_norm,UHC_Index_norm,SCA_norm,Infectious_Diseases_norm,UHC_District,UHC_Poorest20,UHC_Rural,UHC_ReligMin,UHC_SCST,Service_Coverage,FRP_D,UHC_Index_D,Region,UHC_Gap,SCA_FRP_Gap,Equity_Gap_Poor,Equity_Gap_Rural,Equity_Gap_SCST,Equity_Gap_ReligMin,HC_Cluster,KM_Cluster
Arunachal Pradesh,Longding,46.88,8.96,47.54,40.35,Low UHC,65.05,82.32,0.41768383447454605,0.14189807750991765,0.3264657079646018,0.3241042345276872,0.6685521723432422,0.8256179775280897,40.35,30.6,38.49,39.94,39.42,38.73,47.54,40.35,Northeast,59.65,-8.81,9.75,1.86,0.93,0.41,1.0,1.0
Arunachal Pradesh,Kurung Kumey,56.13,11.22,45.8,40.46,Low UHC,45.55,82.53,0.5553736231021137,0.21086359475129698,0.3024059734513274,0.3266635644485807,0.43386689132266215,0.8279775280898876,40.46,24.25,40.24,40.29,40.74,39.22,45.8,40.46,Northeast,59.54,-6.58,16.21,0.22,-0.28,0.17,1.0,1.0
Arunachal Pradesh,Namsai,51.83,10.4,51.0,42.68,Medium UHC,62.2,82.89,0.49136647811848755,0.1858407079646018,0.3743086283185841,0.3783154955793392,0.6342520158863882,0.8320224719101122,42.68,26.42,41.85,40.64,41.52,40.83,51.0,42.68,Northeast,57.32,-10.17,16.26,0.83,1.16,2.04,1.0,1.0
Arunachal Pradesh,East Siang,42.94,7.12,54.02,39.9,Low UHC,66.16,92.63,0.3590354272104792,0.08574916081782119,0.41606747787610626,0.3136342484876685,0.6819111806474907,0.9414606741573033,39.9,30.17,39.8,40.47,39.62,36.99,54.02,39.9,Northeast,60.1,-17.03,9.73,0.1,0.28,-0.57,1.0,1.0
Arunachal Pradesh,Lohit,50.72,14.3,53.89,46.12,Medium UHC,62.2,85.84,0.4748437034831795,0.3048519987793714,0.41426991150442477,0.45835272219637035,0.6342520158863882,0.8651685393258427,46.12,29.24,44.0,46.08,46.11,44.36,53.89,46.12,Northeast,53.88,-9.53,16.88,2.12,0.01,0.04,1.0,1.0
Arunachal Pradesh,Changlang,52.48,8.86,58.51,44.4,Medium UHC,77.33,82.02,0.5010419767788031,0.13884650595056455,0.4781526548672566,0.4183341088878547,0.8163437236731255,0.8222471910112359,44.4,31.74,44.0,43.37,44.47,41.44,58.51,44.4,Northeast,55.6,-17.07,12.66,0.4,-0.07,1.03,3.0,0.0
Arunachal Pradesh,Tawang,55.93,14.01,54.86,44.22,Medium UHC,43.37,90.65,0.5523965465912474,0.2960024412572475,0.42768252212389385,0.41414611447184724,0.40763028041882293,0.9192134831460674,44.22,31.15,44.14,44.47,44.08,41.9,54.86,44.22,Northeast,55.78,-12.96,13.07,0.08,0.14,-0.25,1.0,1.0
Arunachal Pradesh,East Kameng,51.41,7.79,42.2,36.29,Low UHC,45.11,82.52,0.4851146174456683,0.10619469026548675,0.25262721238938063,0.2296416938110748,0.42857142857142855,0.8278651685393257,36.29,21.24,35.82,37.45,36.33,34.94,42.2,36.29,Northeast,63.71,-7.26,15.05,0.47,-0.04,-1.16,1.0,1.0
Arunachal Pradesh,Siang,53.07,9.44,51.91,42.68,Medium UHC,59.27,91.88,0.5098243524858589,0.1565456209948123,0.38689159292035397,0.3783154955793392,0.5989890480202191,0.9330337078651685,42.68,29.4,42.94,42.75,42.71,40.64,51.91,42.68,Northeast,57.32,-11.27,13.28,-0.26,-0.03,-0.07,3.0,1.0
Arunachal Pradesh,West Siang,43.85,7.01,52.03,36.92,Low UHC,48.22,89.02,0.37258112533492105,0.0823924321025328,0.38855088495575224,0.24429967426710097,0.466000722108557,0.9008988764044943,36.92,26.02,36.38,36.59,37.07,33.89,52.03,36.92,Northeast,63.08,-18.14,10.9,0.54,-0.15,0.33,1.0,1.0
